iter	Passed	Remaining
0	3	2999
1	6	3354
2	10	3553
3	14	3592
4	17	3567
5	21	3553
6	25	3600
7	28	3575
8	32	3546
9	35	3527
10	39	3515
11	43	3553
12	47	3611
13	51	3633
14	55	3667
15	59	3689
16	63	3673
17	67	3661
18	71	3689
19	75	3709
20	79	3693
21	82	3680
22	86	3669
23	89	3655
24	93	3641
25	96	3628
26	100	3617
27	103	3609
28	107	3599
29	110	3587
30	114	3576
31	117	3567
32	121	3559
33	125	3551
34	128	3546
35	132	3552
36	136	3556
37	140	3550
38	144	3553
39	147	3547
40	151	3541
41	154	3533
42	158	3525
43	161	3518
44	165	3512
45	169	3505
46	172	3500
47	176	3494
48	179	3490
49	184	3504
50	189	3522
51	194	3548
52	198	3545
53	201	3538
54	205	3537
55	209	3538
56	213	3533
57	217	3526
58	221	3526
59	224	3524
60	228	3521
61	232	3515
62	235	3509
63	239	3502
64	243	3496
65	247	3496
66	250	3490
67	254	3482
68	257	3474
69	261	3476
70	265	3470
71	268	3466
72	272	3460
73	276	3454
74	279	3448
75	282	3436
76	286	3430
77	289	3423
78	293	3417
79	296	3411
80	300	3405
81	303	3396
82	307	3394
83	310	3382
84	313	3377
85	317	3372
86	320	3367
87	323	3356
88	326	3345
89	329	3334
90	332	3325
91	335	3315
92	339	3306
93	341	3295
94	344	3286
95	348	3277
96	351	3267
97	354	3258
98	356	3248
99	359	3239
100	363	3236
101	368	3241
102	371	3233
103	374	3225
104	378	3227
105	382	3225
106	385	3213
107	387	3202
108	390	3190
109	393	3180
110	396	3172
111	399	3164
112	401	3154
113	404	3143
114	407	3133
115	409	3122
116	412	3116
117	415	3106
118	418	3097
119	421	3088
120	423	3079
121	426	3072
122	429	3063
123	432	3054
124	434	3044
125	437	3035
126	440	3027
127	443	3019
128	445	3010
129	448	3002
130	451	2993
131	453	2984
132	456	2978
133	459	2971
134	462	2962
135	465	2954
136	467	2946
137	470	2937
138	473	2933
139	476	2928
140	479	2923
141	482	2915
142	485	2910
143	488	2906
144	492	2901
145	495	2895
146	498	2891
147	501	2886
148	503	2878
149	507	2874
150	509	2866
151	512	2859
152	515	2852
153	517	2844
154	521	2840
155	523	2834
156	526	2827
157	529	2819
158	531	2813
159	534	2805
160	537	2798
161	539	2791
162	542	2784
163	545	2778
164	547	2771
165	550	2765
166	554	2763
167	557	2759
168	560	2756
169	564	2754
170	568	2755
171	571	2751
172	574	2746
173	577	2740
174	580	2735
175	583	2731
176	586	2725
177	589	2720
178	591	2714
179	594	2708
180	597	2702
181	599	2696
182	602	2690
183	605	2684
184	608	2678
185	610	2672
186	613	2666
187	616	2660
188	618	2655
189	621	2649
190	624	2643
191	626	2637
192	629	2631
193	631	2625
194	634	2619
195	637	2613
196	639	2607
197	642	2601
198	644	2595
199	647	2589
200	650	2584
201	652	2578
202	655	2573
203	658	2567
204	660	2562
205	663	2559
206	666	2553
207	669	2548
208	672	2543
209	675	2540
210	678	2536
211	681	2532
212	684	2528
213	687	2525
214	690	2520
215	693	2515
216	696	2511
217	699	2507
218	702	2506
219	705	2502
220	708	2497
221	712	2495
222	715	2492
223	718	2490
224	721	2485
225	724	2481
226	727	2477
227	731	2477
228	734	2474
229	737	2469
230	740	2466
231	743	2462
232	747	2459
233	750	2456
234	754	2455
235	757	2452
236	761	2450
237	764	2447
238	767	2443
239	771	2442
240	774	2439
241	778	2439
242	782	2437
243	785	2432
244	787	2428
245	790	2423
246	794	2421
247	797	2417
248	800	2413
249	802	2408
250	805	2403
251	808	2399
252	811	2397
253	814	2392
254	817	2388
255	820	2383
256	822	2378
257	826	2376
258	829	2373
259	832	2368
260	834	2364
261	837	2359
262	841	2357
263	844	2353
264	847	2349
265	849	2344
266	852	2340
267	855	2336
268	858	2333
269	861	2329
270	864	2324
271	866	2320
272	869	2316
273	872	2312
274	876	2309
275	878	2305
276	881	2300
277	884	2296
278	887	2292
279	890	2289
280	893	2285
281	895	2281
282	898	2276
283	901	2273
284	905	2270
285	909	2269
286	912	2266
287	915	2262
288	918	2258
289	921	2254
290	924	2251
291	928	2251
292	932	2249
293	935	2245
294	938	2243
295	941	2239
296	944	2235
297	947	2231
298	950	2228
299	953	2225
300	957	2222
301	959	2218
302	962	2214
303	965	2210
304	968	2207
305	971	2204
306	974	2200
307	978	2197
308	981	2193
309	984	2191
310	987	2187
311	990	2183
312	992	2179
313	995	2175
314	998	2171
315	1001	2168
316	1004	2164
317	1007	2160
318	1010	2157
319	1013	2153
320	1016	2150
321	1019	2146
322	1022	2142
323	1025	2139
324	1027	2135
325	1031	2132
326	1034	2128
327	1036	2124
328	1039	2120
329	1042	2116
330	1045	2114
331	1049	2111
332	1052	2107
333	1054	2103
334	1057	2099
335	1060	2096
336	1063	2092
337	1066	2089
338	1069	2085
339	1072	2081
340	1075	2077
341	1078	2074
342	1080	2069
343	1084	2068
344	1087	2065
345	1091	2063
346	1094	2060
347	1098	2058
348	1101	2054
349	1104	2051
350	1107	2047
351	1110	2045
352	1113	2041
353	1116	2037
354	1119	2034
355	1122	2030
356	1125	2026
357	1128	2022
358	1130	2019
359	1133	2015
360	1136	2011
361	1139	2007
362	1141	2003
363	1144	1999
364	1147	1995
365	1150	1992
366	1152	1988
367	1155	1984
368	1157	1980
369	1160	1975
370	1164	1975
371	1168	1972
372	1171	1968
373	1174	1965
374	1177	1961
375	1179	1957
376	1182	1954
377	1185	1950
378	1187	1946
379	1190	1942
380	1193	1938
381	1196	1935
382	1198	1931
383	1201	1927
384	1204	1923
385	1207	1920
386	1209	1916
387	1212	1912
388	1215	1908
389	1217	1905
390	1221	1902
391	1224	1898
392	1227	1895
393	1230	1892
394	1232	1888
395	1235	1884
396	1238	1880
397	1240	1876
398	1243	1873
399	1246	1869
400	1248	1865
401	1251	1861
402	1254	1858
403	1257	1854
404	1260	1851
405	1262	1847
406	1265	1843
407	1268	1839
408	1271	1837
409	1274	1834
410	1279	1832
411	1283	1831
412	1286	1828
413	1289	1825
414	1292	1822
415	1295	1819
416	1300	1817
417	1303	1814
418	1306	1811
419	1309	1808
420	1312	1805
421	1316	1803
422	1319	1799
423	1322	1796
424	1325	1793
425	1328	1790
426	1331	1787
427	1334	1783
428	1338	1780
429	1341	1778
430	1344	1774
431	1347	1771
432	1350	1768
433	1353	1764
434	1356	1761
435	1359	1758
436	1362	1755
437	1365	1751
438	1368	1748
439	1371	1745
440	1374	1742
441	1377	1739
442	1380	1736
443	1383	1732
444	1386	1729
445	1389	1726
446	1392	1723
447	1395	1719
448	1399	1716
449	1402	1713
450	1405	1710
451	1408	1707
452	1411	1703
453	1414	1701
454	1417	1698
455	1420	1694
456	1423	1691
457	1426	1688
458	1429	1685
459	1432	1681
460	1435	1678
461	1438	1675
462	1441	1672
463	1446	1670
464	1450	1668
465	1453	1666
466	1458	1664
467	1461	1661
468	1464	1658
469	1467	1654
470	1470	1651
471	1473	1648
472	1476	1645
473	1479	1642
474	1482	1639
475	1485	1635
476	1489	1632
477	1493	1630
478	1496	1627
479	1500	1625
480	1503	1622
481	1507	1620
482	1511	1617
483	1514	1614
484	1517	1610
485	1520	1607
486	1523	1604
487	1526	1601
488	1529	1598
489	1532	1595
490	1535	1591
491	1538	1588
492	1541	1585
493	1545	1583
494	1549	1580
495	1552	1577
496	1555	1574
497	1558	1570
498	1561	1567
499	1564	1564
500	1567	1561
501	1570	1558
502	1574	1555
503	1577	1552
504	1580	1549
505	1583	1545
506	1586	1542
507	1589	1539
508	1592	1535
509	1595	1532
510	1598	1529
511	1601	1526
512	1604	1523
513	1607	1519
514	1610	1516
515	1613	1513
516	1616	1510
517	1620	1507
518	1623	1504
519	1626	1501
520	1629	1498
521	1632	1494
522	1635	1491
523	1639	1489
524	1642	1486
525	1646	1483
526	1649	1480
527	1669	1492
528	1673	1489
529	1676	1487
530	1680	1483
531	1683	1480
532	1686	1477
533	1688	1473
534	1691	1470
535	1694	1466
536	1696	1462
537	1699	1459
538	1702	1455
539	1705	1452
540	1707	1448
541	1710	1445
542	1713	1441
543	1716	1438
544	1719	1435
545	1722	1432
546	1725	1428
547	1727	1425
548	1730	1421
549	1732	1417
550	1735	1414
551	1738	1411
552	1741	1407
553	1744	1404
554	1747	1401
555	1750	1397
556	1753	1394
557	1755	1390
558	1758	1387
559	1761	1383
560	1763	1380
561	1766	1376
562	1769	1373
563	1772	1370
564	1774	1366
565	1777	1363
566	1780	1359
567	1782	1356
568	1785	1352
569	1788	1349
570	1791	1345
571	1793	1342
572	1796	1338
573	1799	1335
574	1802	1332
575	1805	1328
576	1807	1325
577	1810	1321
578	1813	1318
579	1815	1315
580	1818	1311
581	1821	1308
582	1823	1304
583	1826	1301
584	1829	1297
585	1832	1294
586	1836	1292
587	1839	1289
588	1843	1286
589	1846	1283
590	1849	1279
591	1852	1276
592	1855	1273
593	1858	1270
594	1861	1266
595	1863	1263
596	1866	1259
597	1869	1256
598	1872	1253
599	1875	1250
600	1878	1246
601	1880	1243
602	1883	1240
603	1886	1236
604	1888	1233
605	1891	1230
606	1894	1226
607	1897	1223
608	1899	1219
609	1902	1216
610	1905	1213
611	1908	1209
612	1911	1206
613	1913	1203
614	1916	1199
615	1919	1196
616	1921	1193
617	1924	1189
618	1927	1186
619	1929	1182
620	1932	1179
621	1936	1176
622	1939	1173
623	1941	1170
624	1944	1166
625	1947	1163
626	1950	1160
627	1952	1156
628	1955	1153
629	1958	1149
630	1960	1146
631	1963	1143
632	1966	1139
633	1968	1136
634	1971	1133
635	1974	1130
636	1977	1126
637	1979	1123
638	1982	1120
639	1985	1116
640	1988	1113
641	1990	1110
642	1993	1106
643	1996	1103
644	1998	1100
645	2002	1097
646	2004	1093
647	2007	1090
648	2010	1087
649	2012	1083
650	2015	1080
651	2019	1077
652	2022	1074
653	2025	1071
654	2029	1069
655	2034	1066
656	2037	1063
657	2040	1060
658	2042	1057
659	2045	1053
660	2048	1050
661	2051	1047
662	2053	1044
663	2056	1040
664	2059	1037
665	2062	1034
666	2065	1031
667	2067	1027
668	2070	1024
669	2073	1021
670	2075	1017
671	2078	1014
672	2081	1011
673	2084	1007
674	2086	1004
675	2089	1001
676	2092	998
677	2095	995
678	2098	991
679	2100	988
680	2103	985
681	2106	982
682	2108	978
683	2111	975
684	2114	972
685	2116	968
686	2119	965
687	2122	962
688	2125	959
689	2127	955
690	2130	952
691	2132	949
692	2136	946
693	2139	943
694	2141	939
695	2144	936
696	2147	933
697	2150	930
698	2152	927
699	2155	923
700	2158	920
701	2161	917
702	2164	914
703	2166	911
704	2169	907
705	2172	904
706	2174	901
707	2177	898
708	2180	894
709	2182	891
710	2185	888
711	2188	885
712	2191	882
713	2195	879
714	2199	876
715	2202	873
716	2205	870
717	2209	867
718	2212	864
719	2215	861
720	2217	858
721	2220	854
722	2222	851
723	2226	848
724	2229	845
725	2231	842
726	2234	839
727	2237	835
728	2239	832
729	2242	829
730	2245	826
731	2248	823
732	2250	819
733	2253	816
734	2256	813
735	2258	810
736	2261	807
737	2264	803
738	2266	800
739	2269	797
740	2272	794
741	2275	791
742	2278	788
743	2280	784
744	2283	781
745	2286	778
746	2289	775
747	2292	772
748	2294	769
749	2297	765
750	2300	762
751	2302	759
752	2306	756
753	2309	753
754	2312	750
755	2314	747
756	2317	744
757	2320	740
758	2323	737
759	2326	734
760	2329	731
761	2331	728
762	2334	725
763	2337	722
764	2340	718
765	2342	715
766	2345	712
767	2348	709
768	2350	706
